x,y,label
-42.3051,3.6743624,Normal
16.400675,19.662115,Normal
41.224068,-1.1240062,Normal
-12.159156,21.219076,Normal
-24.906199,8.873185,Normal
-19.779514,-28.759422,Normal
28.03746,-1.9039636,Normal
3.5793989,-0.7101417,Normal
-5.607491,-10.554742,Normal
25.980888,-13.014763,Normal
-19.044178,27.318342,Normal
-40.43384,-27.652315,Normal
-22.133263,-19.217884,Normal
23.378756,21.488338,Normal
34.409473,24.346157,Anomaly
27.388206,11.7353735,Normal
0.96821314,45.178753,Normal
28.773329,-25.91476,Normal
-2.9896739,-0.30733374,Normal
-4.5694313,-33.742023,Normal
13.973221,11.867057,Normal
5.5775065,25.882942,Normal
36.748405,-7.4303565,Normal
-17.554152,32.79682,Normal
-13.517234,19.976782,Normal
-5.3038707,19.757467,Normal
-5.750836,-5.543948,Normal
-2.094485,-20.53919,Normal
19.384579,9.176991,Normal
30.79035,-4.7140403,Normal
-27.624859,-4.2274656,Normal
15.691677,-13.824455,Normal
39.69137,-7.908141,Normal
30.045141,-5.657988,Normal
15.5622635,-12.58535,Normal
-4.6657896,46.041725,Normal
43.659916,-13.591542,Normal
38.751007,-1.0870484,Normal
-30.064104,-6.307313,Normal
-25.442587,-32.406906,Normal
7.7212186,-5.592981,Normal
-41.377617,-12.950255,Normal
-32.43396,9.677689,Normal
3.009987,25.150644,Normal
-6.3363795,26.809929,Normal
25.566366,28.409056,Normal
39.372486,-10.919925,Normal
32.35023,-29.32131,Normal
-37.512,-9.383668,Normal
-2.934726,14.746342,Normal
-15.468031,19.728346,Normal
-0.8398588,-4.8677287,Normal
-9.835801,19.69947,Normal
-5.174562,-13.513952,Normal
13.779736,15.826743,Normal
-6.1929545,-9.040586,Normal
-43.891403,-0.733902,Normal
21.667416,-26.44435,Normal
23.104122,21.29477,Normal
28.963446,30.207119,Anomaly
29.63852,24.29379,Normal
7.8847666,-8.965923,Anomaly
47.37625,2.7942176,Normal
5.323748,-17.8225,Normal
-39.624832,-6.0210347,Normal
26.207214,-6.4556475,Normal
0.22756995,-5.9936676,Normal
-21.632906,16.08532,Normal
-0.14828378,-19.36223,Normal
31.821009,-4.5330806,Normal
38.232956,19.77697,Normal
-38.018703,-8.1688595,Normal
14.039373,0.98844296,Normal
16.165854,-31.885199,Normal
7.168839,-8.269741,Normal
25.06713,34.701183,Normal
-38.88283,-16.053448,Normal
-19.767508,-15.663002,Normal
4.6260395,-0.8967348,Normal
-8.19121,-8.030337,Normal
-40.026165,20.111326,Normal
32.92054,-1.3050205,Normal
-44.36248,-36.018593,Anomaly
-20.841618,-3.451003,Normal
-4.3498416,14.375329,Normal
-45.755604,-7.8708825,Normal
2.3731246,-16.688662,Normal
34.06988,-16.191011,Normal
2.3375916,-29.742826,Normal
-31.633257,7.7539215,Normal
-20.440945,26.666073,Normal
-21.782207,23.422903,Normal
-2.9125586,3.048072,Normal
6.185941,-10.745355,Normal
-8.916074,-4.6114955,Normal
-9.765239,8.870919,Normal
-37.459484,-28.129782,Normal
-21.025047,-19.265057,Normal
-37.42765,18.191898,Normal
-13.1088295,-12.165641,Normal
25.591839,34.137787,Normal
31.672419,-14.443697,Normal
19.988827,5.886324,Normal
-29.056492,2.882637,Normal
38.233047,-22.854553,Normal
-11.068978,11.282274,Normal
23.888739,28.576149,Normal
-25.855568,-3.123623,Normal
32.40727,-14.669248,Normal
-3.3700023,-16.151197,Normal
40.011932,-8.450631,Normal
42.28782,-10.900435,Anomaly
-36.62247,18.261303,Normal
-37.760777,-25.593283,Normal
29.38237,-34.35988,Normal
28.402245,-25.25758,Normal
36.87941,-14.878433,Normal
-29.496933,-9.227663,Normal
-25.131151,14.349523,Normal
15.631727,23.111626,Normal
-3.2670972,2.4881968,Normal
4.896823,-23.13725,Normal
6.55171,21.20783,Normal
28.973152,1.5331291,Normal
-17.676388,-10.729576,Normal
37.728046,-7.5060024,Normal
-10.597577,20.962103,Normal
26.07131,34.44491,Normal
0.28983855,12.980388,Normal
25.489954,-2.8073843,Normal
6.820117,8.46631,Normal
-5.1918707,7.709601,Normal
-24.298645,13.584457,Normal
18.669806,-21.123655,Normal
27.093843,14.0147085,Normal
6.0559916,-6.6862497,Normal
-24.19541,-10.432973,Normal
-28.010386,7.0647564,Normal
-30.286955,7.6070457,Normal
-24.767878,-16.534954,Normal
26.248035,-13.272925,Normal
24.586761,-5.7193537,Normal
-15.773154,26.756783,Normal
29.057653,22.93762,Normal
-10.194547,24.436192,Normal
35.107582,-6.075465,Normal
-8.910829,-5.2122774,Normal
-2.4370403,-21.539145,Normal
13.890646,8.629586,Normal
38.76564,-1.9346116,Normal
43.898834,11.636402,Normal
11.193497,20.434944,Normal
17.747555,-16.98822,Normal
-17.320288,4.38291,Normal
-38.88231,7.946142,Normal
48.189423,5.398175,Normal
12.849438,1.213329,Normal
43.221516,-7.147149,Normal
-38.36186,-23.084023,Normal
16.683119,-18.327738,Normal
-33.82643,-19.008896,Normal
-22.485985,6.4331636,Normal
-9.871754,18.830286,Normal
-35.206844,-27.811665,Normal
-28.091185,-19.815367,Normal
-25.251308,15.778671,Normal
36.194347,-5.905995,Normal
31.730272,-31.184334,Normal
23.377409,9.486432,Normal
17.08765,18.687498,Normal
-9.287076,-8.533585,Normal
-20.611784,11.010743,Normal
-5.387633,27.606262,Normal
-2.1630871,45.156445,Normal
29.896673,25.071707,Normal
16.49717,3.3933728,Normal
30.047924,-3.99014,Normal
-1.0008862,-33.81409,Normal
-17.461567,38.27429,Normal
-17.80863,-32.123444,Normal
38.236435,20.042534,Normal
-40.32466,-29.419426,Normal
23.024033,-24.549877,Normal
-0.040267695,21.404312,Normal
-6.8184433,43.692924,Normal
17.949245,4.478378,Normal
-8.329487,19.24016,Normal
-8.506883,45.99343,Normal
3.9379432,-38.016216,Normal
-12.967396,7.672657,Normal
-45.4594,-0.5254091,Normal
24.017206,6.3719296,Normal
-5.305751,46.765102,Normal
-20.666136,-15.48356,Normal
-15.632426,21.919643,Normal
5.5735974,-38.00265,Normal
-25.10257,9.926709,Normal
-19.682129,-15.986547,Normal
26.37957,-23.052261,Normal
41.328365,-1.4730335,Normal
-43.71576,15.951343,Normal
-6.1224637,28.034685,Normal
24.614717,6.027596,Normal
12.2433195,11.328819,Normal
30.256582,21.656195,Normal
-20.41917,23.331404,Normal
-30.853298,12.142743,Normal
16.941416,2.237428,Normal
9.219335,-13.93722,Normal
16.822361,-30.557615,Normal
8.420483,17.230547,Normal
-2.912573,-10.162217,Normal
-33.083572,2.9784932,Normal
28.71623,2.784396,Normal
-16.824852,27.330173,Normal
-32.35867,25.542654,Normal
20.879192,24.217281,Normal
-6.6790824,12.718359,Normal
20.047878,-18.021767,Normal
12.201663,-25.063114,Normal
9.11745,-34.526024,Normal
23.337818,-25.327698,Anomaly
-33.16273,22.901451,Normal
-44.131584,-36.606945,Anomaly
-34.150414,-13.280518,Normal
25.868742,-29.602024,Normal
-17.817097,35.507,Normal
20.301004,25.010504,Normal
-9.54104,-20.153965,Normal
32.965843,-30.791374,Normal
0.61930394,-31.002337,Normal
-40.625675,11.894818,Normal
11.967413,8.163183,Anomaly
19.745007,-1.9404525,Normal
1.4667923,29.571568,Normal
51.73145,7.391433,Normal
45.36057,6.9306417,Normal
-21.814655,23.713232,Normal
-34.991413,-6.1501203,Normal
17.428999,0.17054844,Normal
26.738684,-25.960804,Normal
36.05398,0.40296355,Normal
-0.13720691,-2.5295951,Normal
39.347218,7.825781,Normal
6.8428802,-4.310599,Normal
-21.45566,-5.3104997,Anomaly
-41.5446,-34.87927,Normal
-42.199127,-35.029,Normal
-40.67821,-16.08354,Normal
34.526806,24.56513,Anomaly
37.007553,-5.5671873,Normal
-31.327784,-15.041691,Normal
-42.304626,9.462409,Normal
-22.346973,-14.876879,Normal
2.9522045,-11.631433,Normal
18.083933,20.27317,Normal
47.34122,10.80898,Normal
-8.621362,44.243973,Normal
-40.485344,-22.984722,Normal
4.8559184,30.284327,Normal
-23.49095,-27.663042,Normal
24.160444,-12.335154,Normal
48.27152,4.1818066,Normal
-42.347794,-31.40171,Anomaly
46.17663,-13.735358,Normal
-6.362493,9.399027,Normal
24.378197,12.795014,Normal
-7.6405034,26.636059,Normal
34.48912,19.574606,Normal
-40.052635,-2.7276487,Normal
26.149895,12.034383,Normal
14.387407,9.595234,Normal
2.3278868,-20.084959,Normal
1.5123385,16.738941,Normal
4.1543217,0.41473806,Normal
37.818214,-8.903647,Normal
-1.6740935,-4.5669103,Normal
-32.67907,23.401634,Normal
-37.380955,-0.119969025,Normal
-8.308543,26.972828,Normal
6.007582,14.481574,Normal
-35.696926,7.8886824,Normal
49.52017,8.863431,Normal
9.4094515,18.356201,Normal
50.762817,8.94764,Normal
-19.420118,5.7775784,Normal
39.60646,7.3200183,Normal
31.707867,-22.944078,Normal
31.426619,-12.96643,Normal
30.231157,28.995516,Normal
0.5607295,14.217438,Normal
37.43683,18.952936,Normal
31.564558,3.6204655,Normal
-28.010183,-20.567053,Normal
-35.431126,-7.0489936,Normal
26.759432,10.334898,Normal
26.540472,20.966515,Normal
-19.48142,12.671226,Normal
-0.24520418,-4.122528,Normal
-29.868216,-12.70902,Normal
35.615295,-17.74981,Normal
27.059038,13.476755,Normal
25.058475,-28.886456,Normal
25.083143,4.713737,Normal
-3.3521495,-22.001205,Normal
-28.731009,-24.46563,Normal
25.262861,24.76333,Normal
-30.668375,23.450552,Normal
-38.972645,11.874315,Normal
12.538941,16.5209,Normal
-16.764877,-28.217148,Normal
15.174023,11.18979,Normal
-23.931189,-21.454628,Normal
3.1595614,-30.078186,Normal
44.665955,5.086247,Normal
37.636253,-15.618479,Normal
14.300759,3.6556072,Normal
12.89988,30.740124,Normal
34.647667,-16.725422,Normal
8.417112,-33.849785,Normal
-41.741127,19.567362,Normal
-3.07774,-0.60404956,Normal
18.561117,-15.199777,Normal
-30.044624,3.4621787,Normal
-32.326256,-15.016213,Normal
-23.232038,25.19007,Normal
13.715024,-34.214283,Normal
-27.044563,-8.531836,Normal
4.1376376,-9.181035,Normal
-42.40022,19.42046,Normal
-45.542004,-6.1722226,Normal
-34.033226,3.1643047,Normal
-5.5812364,-31.997046,Normal
41.047516,6.333518,Normal
10.866942,-4.080463,Normal
-24.734858,5.1579914,Normal
-40.923668,11.113092,Normal
45.011917,-1.8951583,Normal
-27.396671,17.07781,Normal
-35.31842,-13.81723,Normal
1.5727763,20.944118,Normal
-42.499702,-10.618133,Normal
-14.627597,24.030176,Normal
26.13544,24.53691,Normal
16.754122,-17.23015,Anomaly
24.289776,13.901881,Normal
37.67055,-6.996969,Normal
27.14607,-30.246727,Normal
-39.4294,-20.375414,Normal
-32.384933,5.440952,Anomaly
31.224789,-28.878162,Normal
1.7971191,-5.4065676,Normal
24.762262,24.25453,Normal
-14.185238,-18.845615,Normal
0.25771436,2.1521428,Normal
7.2924805,26.355156,Normal
-3.9753263,-22.170383,Normal
7.3701096,-39.79787,Normal
-33.260113,-13.720193,Normal
-18.482584,-0.6456976,Normal
21.281708,-25.306904,Normal
45.536068,-4.4230475,Normal
-8.705634,10.080154,Normal
39.198475,-1.7040966,Normal
-42.056152,-36.538433,Normal
2.8326519,-18.269316,Normal
0.44382444,7.8063364,Normal
-9.3477955,9.065438,Normal
-10.306468,10.628704,Normal
8.761498,25.61336,Normal
-29.443108,25.876966,Normal
-2.1574056,-9.86229,Normal
-9.690645,-6.5518513,Normal
10.055878,-38.64128,Normal
-42.558628,-35.645573,Normal
-20.571718,12.313566,Normal
34.87285,-23.668629,Normal
36.020493,1.2509485,Normal
1.3611802,6.023835,Normal
32.64857,-26.875887,Normal
-5.0531616,32.661407,Normal
28.858019,-1.8380852,Normal
-43.85421,16.657505,Normal
-1.9554383,-37.431423,Normal
21.95283,-13.347163,Normal
-28.759693,13.779986,Normal
30.054893,-17.74334,Normal
25.65888,-22.400686,Normal
11.100626,-8.346719,Normal
46.1428,-5.4201813,Normal
-0.004569528,18.660025,Normal
2.6162007,-30.427727,Normal
-40.85652,-16.134317,Normal
-29.489174,-5.879776,Normal
-5.8305907,15.467501,Normal
-2.059876,19.2129,Normal
-34.23858,-18.713783,Normal
23.764893,-16.238573,Normal
-3.9603848,13.799126,Normal
-18.672728,-34.77707,Normal
-13.672876,-8.02125,Normal
-39.51513,-23.228685,Normal
-27.340685,22.685053,Normal
27.690264,-31.986147,Normal
33.383896,-1.09788,Normal
14.602429,26.302366,Normal
29.690144,-16.541166,Normal
-20.765179,-18.043114,Normal
11.458708,19.468094,Normal
-24.438751,-14.387893,Normal
-25.096043,25.00589,Normal
-15.360464,30.024717,Normal
-1.8240705,3.150069,Normal
-28.05112,-18.211475,Normal
2.9736612,-0.6194644,Normal
23.9611,9.498498,Normal
-7.937237,22.704777,Normal
-44.302074,3.6401196,Normal
-15.849332,-30.159393,Normal
-17.589125,30.060974,Normal
42.299084,-8.969733,Normal
